motion,category_1,category_1_score,category_2,category_2_score,category_3,category_3_score
A bude hůř,,0,,0,,0
Aid to developing countries should primarily be provided in the form of trade support rather than direct assistance.,Social Justice,3,Economics,1,Urban Planning / Housing,1
Anonymita na sociálních sítích přináší víc škody než užitku,Social Media,1,Environment / Climate,1,Arts / Entertainment,1
As Victor Frankenstein we would accept the offer from „the creature“,,0,,0,,0
"As an aspiring artist, we would choose to use an anonymous personality (eg. Marshmallo, Banksy, Daft Punk)",Arts / Entertainment,3,Psychology,1,Social Media,1
Branná povinnost by měla být znovu zavedena,Urban Planning / Housing,1,,0,,0
Charismatičtí vůdci přináší více škody než užitku nehledě na jejich politickou afiliaci,Politics,1,Philosophy,1,Environment / Climate,1
Depiction of veganism as trendy brings more harm than good,Arts / Entertainment,3,Philosophy,1,Culture,1
"Diktátorům, kteří se dobrovolně vzdají moci, by měla být udělena amnestie",Law,1,Human Rights,1,Urban Planning / Housing,1
Drogově závislí by měli mít přístup k systému sociálního zabezpečení jen pod podmínkou rehabilitace,Healthcare,2,Social Justice,1,Crime / Justice System,1
Dárky přinášejí více škody než užitku.,Philosophy,1,Environment / Climate,1,,0
Díky uniformám je Open Gate lepším místem,,0,,0,,0
Dětství je lepší fáze života než dospělost.,,0,,0,,0
E-sport by se měl stát olympijskou disciplínou,Sports,1,,0,,0
EU by měla více spolupracovat s Čínou na úkor vztahu s USA,International Relations,2,Philosophy,1,,0
EU by se měla zaměřit na rozvíjení vztahů s Čínou na úkor vztahů s USA,International Relations,2,,0,,0
Economic globalization has brought more harm than good to developing countries,Economics,1,Philosophy,1,Culture,1
Fitness a výživoví influenceři na sociálních sítích přináší více škody než užitku,Philosophy,1,Environment / Climate,1,,0
Former colonial powers should return objects of cultural or historical significance to their places of origin,History,3,International Relations,1,Culture,1
"Formy alternativního vzdělání (Montessori, Waldorf, SCIO, apod.) přináší více škody než užitku.",Education,4,Philosophy,1,Environment / Climate,1
Gene editing for human enhancement brings more harm than good,Science / Technology,2,Philosophy,1,Environment / Climate,1
Hotovost by měla být zrušena,Economics,1,Urban Planning / Housing,1,,0
"In times of crisis, policy decisions should be made by independent experts instead of elected politicians.",,0,,0,,0
Influenceři mají negativní vliv na děti a mládež,Family / Parenting,3,International Relations,1,,0
Informování o nevhodném jednání známých osob přináší více škody než užitku.,Philosophy,1,Environment / Climate,1,,0
Jako Petr Fiala bychom přijali tuto nabídku,,0,,0,,0
Jako environmentální hnutí bychom měli používat ekoterorismus k dosažení svých cílů,Social Justice,1,,0,,0
"Je lepší žít v chudém, ale demokratickém státě než v bohatém státě s diktaturou",,0,,0,,0
Je v zájmu ČR co nejdříve přijmout euro,Economics,1,,0,,0
Jedničkáři by měli mít právo nechodit do školy.,Law,1,Education,1,Human Rights,1
Ježíšek je lepší než Santa Claus,,0,,0,,0
Katolická církev by měla zrušit povinnost celibátu kněží,Religion,2,,0,,0
Každý občan žijící pod totalitním režimem má morální povinnost proti režimu aktivně bojovat.,Politics,1,Philosophy,1,,0
Kupované dárky jsou lepší než ručně vyráběné,,0,,0,,0
Lidé by neměli jíst maso,,0,,0,,0
"Lidé by neměli oslavovat Luigiho Mangioneho a vraždu, ze které je obviněn",Culture,1,,0,,0
Lidé by se se svými problémy měli obracet na AI spíše než na reálné lidi.,Science / Technology,1,,0,,0
Long‑term vacant residential buildings and apartments should have their ownership transferred to municipal authorities,Urban Planning / Housing,6,,0,,0
Marge Simpsonová není dobrá matka.,Family / Parenting,1,,0,,0
Mercury retrograde by měl být uznán jako polehčující okolnost při soudních procesech.,Urban Planning / Housing,1,,0,,0
Mučení osob podezřelých z terorismu je ospravedlnitelné,Human Rights,1,,0,,0
Měli bychom legalizovat obchod s lidskými orgány.,Economics,1,Crime / Justice System,1,,0
Měli bychom zakázat prodej energetických nápojů,Law,1,,0,,0
Na ZŠ by se mělo zavést pouze slovní hodnocení.,Education,1,,0,,0
Odklon od tradičních médií přináší více škody než užitku.,Philosophy,1,Environment / Climate,1,Media / Journalism,1
Organizované náboženství přináší více škody než užitku,Philosophy,1,Environment / Climate,1,Religion,1
Osmiletá gymnázia by měla být zakázána,Urban Planning / Housing,1,,0,,0
Pat a Mat jsou pro děti dobrým vzorem,Family / Parenting,1,,0,,0
Pomoc rozvojovým zemím by měla být primárně realizována formou podpory obchodu spíše než přímou podporou,Economics,1,Social Justice,1,Urban Planning / Housing,1
"Pozorovaná osoba se neprojevuje submisivně, ale spíše asertivně.",,0,,0,,0
Pro rozvojové země je lepší autoritářský režim než demokracie,Politics,3,,0,,0
Prostituce by měla být legalizována,Urban Planning / Housing,1,,0,,0
"Raději bychom pracovali v dobře placené profesi a většinu svého platu darovali na charitu, než abychom pracovali přímo pro charitu za nižší mzdu.",Work / Labor,1,,0,,0
Reklama cílící na děti by měla být zakázána,Family / Parenting,1,Urban Planning / Housing,1,,0
Rodiče by měli mít právo sledovat veškerou aktivitu svých dětí na sociálních sítích,Family / Parenting,2,Law,1,Human Rights,1
Rodiče by měli upřednostňovat své štěstí před štěstím svých dětí,Family / Parenting,2,,0,,0
Romantické filmy přinášejí více škody než užitku,Philosophy,1,Environment / Climate,1,Arts / Entertainment,1
Rozpad Rakouska-Uherska byl chybou,,0,,0,,0
Rozvinuté země by měly kompenzovat rozvojovým zemím škody způsobené klimatickou změnou,Environment / Climate,2,,0,,0
Social justice movements without a prominent leader are preferable to ones with a prominent leader,Social Justice,2,Law,1,Philosophy,1
"Společenská hnutí bez prominentního vůdce jsou lepší než hnutí, která takového vůdce mají",Social Justice,1,,0,,0
"Svět, ve kterém všichni interpretují náboženství sami, je lepší než svět, ve kterém je náboženství interpretováno církví",Religion,1,,0,,0
Systém stálého členství v Radě bezpečnosti OSN by měl být zrušen,International Relations,1,Urban Planning / Housing,1,,0
SŠ by měly aktivně podporovat využívání umělé inteligence ve výuce,Psychology,1,,0,,0
THBT the Democrats should fight dirty,War / Conflict,1,,0,,0
THR the creation of the series and films industry,Arts / Entertainment,3,,0,,0
TOP 5 Nejlepších dní pracovního klidu,,0,,0,,0
Tato strana by se jako herci původních HP filmů distancovala od JK Rowling,Arts / Entertainment,2,Politics,1,,0
"Tato vláda by u soudu umožnila využívat nelegálně získané důkazy (např. nelegální odposlechy, důkazy získané bez povolení k prohlídce či krádeží, atd.)",Crime / Justice System,3,Politics,1,Law,1
"Tato vláda nepodporuje výuku morálních hodnot skrze díla, jejichž autoři se aktivně podílejí na diskriminaci.",Politics,1,History,1,,0
Testování všech produktů na zvířatech by mělo být zakázáno.,Education,1,Urban Planning / Housing,1,,0
The European Union should substantially increase its defence capabilities,War / Conflict,1,Work / Labor,1,,0
The largest asset management firms should be broken up,Economics,1,,0,,0
The narrative that hard work will lead to success brings more harm than good,Work / Labor,2,Philosophy,1,Environment / Climate,1
The proposed EU Chat control regulation would bring more harm than good,Law,1,International Relations,1,Philosophy,1
The trend of reintroducing compulsory military service in Europe is a step in wrong direction,War / Conflict,1,Philosophy,1,Culture,1
This House Regrets the demonization of men in feminist rhetoric and media,Gender Issues,4,Media / Journalism,1,Urban Planning / Housing,1
This House Would pardon violent separatist groups for their crimes in exchange for their peaceful surrender,War / Conflict,2,Crime / Justice System,2,Law,1
This house believes that Chancellor Merz's approach of heavily prioritizing foreign policy over domestic policy is in the interest of Germans.,International Relations,1,Immigration,1,Urban Planning / Housing,1
Top 5 popkulturních momentů,,0,,0,,0
"Trend používání umělé inteligence při tvorbě umění (v hudbě, kinematografii, digitálním umění, atd.) přináší více škody než užitku",Culture,2,Arts / Entertainment,2,Psychology,1
V akademické debatě by měla lidské rozhodčí nahradit umělá inteligence,Psychology,1,Sports,1,,0
Vstup do muzeí a galerií by měl být zdarma,Urban Planning / Housing,1,Energy,1,,0
Vánoce přináší více škody než úžitku,Philosophy,1,Environment / Climate,1,,0
